	price	propertyType	rawAddress	squareFootage	bathrooms	bedrooms	daysOnMarket	latitude	longitude
3	700000	Single Family	15407 Patrica St, Austin, TX 78728	1680.0	2.0	3.0	557	30.451009	-97.669682
6	500000	Single Family	7512 Providence Ave, Austin, TX 78752	1729.0	2.0	3.0	467	30.333824	-97.694973
14	8500000	Single Family	10210 Crumley Ranch Rd, Austin, TX 78738	2248.0	2.5	3.0	396	30.26606	-98.024644
15	1100000	Single Family	1001 Lott Ave, Austin, TX 78721	2774.0	3.5	4.0	354	30.26777	-97.683366
17	699900	Single Family	702 Culp St, Austin, TX 78741	1075.0	1.5	3.0	374	30.238301	-97.697426
18	999000	Single Family	9000 S Us Hwy 183 Dr Unit C, Austin, TX 78747	3722.0	2.0	3.0	354	30.122808	-97.697847
19	800000	Single Family	1006 Lott Ave, Austin, TX 78721	1024.0	2.0	3.0	338	30.268145	-97.683811
21	2350000	Single Family	7651 Trailside Estates Blvd, Austin, TX 78724	5682.0	5.0	5.0	343	30.285612	-97.584547
22	7800000	Single Family	5512 Cuesta Verde, Austin, TX 78746	9876.0	5.5	4.0	343	30.33327	-97.796233
33	750000	Single Family	7607 Williamson Creek Dr, Austin, TX 78736	1026.0	1.0	3.0	304	30.246044	-97.914972
34	450000	Single Family	15700 Scarlet St, Austin, TX 78728	1946.0	2.0	3.0	305	30.454294	-97.66928
36	8200000	Single Family	211 Costa Bella Dr, Austin, TX 78734	9261.0	7.0	5.0	301	30.389013	-97.949821
37	12250000	Single Family	5705 Scenic View Dr, Austin, TX 78746	10450.0	7.5	7.0	298	30.315461	-97.807293
43	695000	Single Family	2901 Dresden Cv, Austin, TX 78723	3121.0	4.0	7.0	285	30.300537	-97.68263
44	449990	Single Family	12714 Stanford Dr, Austin, TX 78748	1848.0	2.0	3.0	280	30.115018	-97.811114
45	474990	Single Family	4504 Pink Sand Dr, Austin, TX 78747	1402.0	2.0	3.0	281	30.127848	-97.79135
46	1999999	Single Family	2645 W 45th St, Austin, TX 78731	3379.0	5.0	5.0	276	30.320262	-97.752808
48	684000	Single Family	203 E Saint Johns Ave, Austin, TX 78752	2144.0	2.0	4.0	269	30.334695	-97.708677
